区域ID,区域,样品ID,纬度,经度,LOC PREC,SR87_SR86,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204
3,SEIR,AAR2011-RC12,-59.9416,153.157,0.00001,0.702554,0.513154,18.348,15.48,37.9515
4,SWIR,MELPROT-5-009-001,-52.58,26.335,0.001,0.70255,0.513046,18.339,15.478,37.987
3,SEIR,CHRHYAM-004-043,-34.91,78.67,0.01,0.70312,0.512991,18.331,15.53,38.215
3,SEIR,MELWEST-10-111-018,-48.2133,104.662,0.00001,0.70312,0.512934,18.322,15.506,38.217
3,SEIR,PETDB-2871-ST PAUL-21,-38.72,77.55,0.01,0.70407,0.51293,18.32,15.58,38.44
4,SWIR,DUF0125-006-002-002,-44.9,36.47,0.01,0.702882,0.513147,18.289,15.5095,38.0463
3,SEIR,MELWEST-10-117-001,-48.3497,107.145,0.00001,0.70289,0.513011,18.284,15.508,38.249
3,SEIR,MELWEST-10-122-001,-48.7383,108.277,0.00001,0.70298,0.512972,18.282,15.491,38.273
4,SWIR,DY0105-017-002A,-37.77,49.65,0.01,0.702978,0.513118,18.277,15.564,38.248
4,SWIR,DY0115-020-005-004,-38.13,48.6,0.01,0.703071,0.513124,18.276,15.533,38.163
4,SWIR,MELPROT-5-020-A,-46.495,33.87,0.001,0.7034,0.512983,18.261,15.552,38.37
3,SEIR,MELWEST-10-098-003,-47.4583,100.961,0.00001,0.70301,0.512988,18.257,15.512,38.102
3,SEIR,MELWEST-10-116-015,-48.8733,106.494,0.00001,0.7029,0.513008,18.251,15.5,38.223
3,SEIR,VEM0033-2-009-002,-49.808,119.175,0.001,0.70293,0.513036,18.248,15.489,38.003
3,SEIR,VEM0033-2-008-006,-49.467,121.033,0.001,0.703212,0.512988,18.2441,15.4927,38.2809
4,SWIR,DUF0034-007,-44.807,36.302,0.001,0.7028,0.513041,18.237,15.499,37.976
3,SEIR,MELWEST-10-116-002,-48.8733,106.494,0.00001,0.70294,0.513007,18.233,15.487,38.175
4,SWIR,DY0115-017-002A,-37.77,49.65,0.01,0.703214,0.513091,18.228,15.5,38.032
3,SEIR,MOA8801-005-001,-48.68,126.52,0.001,0.70284,0.513038,18.226,15.465,37.956
4,SWIR,DUF0107-073-002,-37.69,49.85,0.01,0.702722,0.51312,18.226,15.4904,37.9952
