区域ID,区域,样品ID,纬度,经度,LOC PREC,SR87_SR86,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204
4,SWIR,DUF0107-049,-31.73,57.74,0.01,0.702861,0.513134,17.496,15.4134,37.2152
3,SEIR,CHRRODR-3-003-001,-25.57,70.026,0,0.703113,0.513048,17.488,15.455,37.5
4,SWIR,CHRRODR-3-003-001,-25.57,70.026,0,0.703113,0.513048,17.488,15.455,37.5
3,SEIR,CHRRODR-2-002-001,-25.61,69.94,0.01,0.70305,0.513027,17.477,15.455,37.47
4,SWIR,CHRRODR-2-002-001,-25.61,69.94,0.01,0.70305,0.513027,17.477,15.455,37.47
3,SEIR,AII0093-6-014-023,-25.78,70.183,0.001,0.70311,0.513077,17.469,15.449,37.456
4,SWIR,AII0093-6-014-023,-25.78,70.183,0.001,0.70311,0.513077,17.469,15.449,37.456
4,SWIR,DUF0107-032-004-004,-30.27,60.49,0.01,0.702749,0.513172,17.4498,15.4023,37.1346
4,SWIR,MELPROT-5-027-A,-43.612,39.308,0.001,0.70438,0.512692,17.441,15.48,37.663
3,SEIR,CHRRODR-2-003-001,-25.66,70.054,0.01,0.703149,0.513047,17.44,15.443,37.4
4,SWIR,CHRRODR-2-003-001,-25.66,70.054,0.01,0.703149,0.513047,17.44,15.443,37.4
4,SWIR,DUF0107-036,-30.66,59.56,0.01,0.702774,0.513129,17.432,15.4014,37.1355
4,SWIR,DUF0107-046-001-006,-31.19,58.61,0.01,0.702707,0.51317,17.429,15.3963,37.1141
4,SWIR,DUF0107-038-001-001,-30.91,59.34,0.01,0.702829,0.513178,17.4224,15.4013,37.1104
4,SWIR,DUF0107-034-001-003,-30.44,60.16,0.01,0.702659,0.513215,17.4052,15.3976,37.0816
4,SWIR,DUF0107-042,-31.038,59.121,0.001,0.702723,0.513143,17.404,15.398,37.0847
4,SWIR,DUF0107-035,-30.52,59.91,0.01,0.702911,0.513118,17.4018,15.4006,37.1097
4,SWIR,DUF0107-041-001-001,-30.92,59.16,0.01,0.702824,0.513157,17.3631,15.3923,37.0698
3,SEIR,DUF0023-003-001,-25.385,70.064,0.001,0.703135,0.513059,17.334,15.46,37.36
4,SWIR,DUF0023-003-001,-25.385,70.064,0.001,0.703135,0.513059,17.334,15.46,37.36
3,SEIR,AII0093-6-010-103,-24.98,70.012,0.001,0.703035,0.513083,17.325,15.456,37.287
3,SEIR,AII0093-6-010-103,-24.98,70.012,0.001,0.70304,0.513083,17.325,15.456,37.287
4,SWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.703035,0.513083,17.325,15.456,37.287
4,SWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.70304,0.513083,17.325,15.456,37.287
3,SEIR,AII0093-5-005,-24.98,69.99,0.01,0.70303,0.513072,17.315,15.443,37.251
4,SWIR,AII0093-5-005,-24.98,69.99,0.01,0.70303,0.513072,17.315,15.443,37.251
3,SEIR,AII0093-6-010-003,-24.98,70.012,0.001,0.70304,0.51307,17.307,15.531,37.214
4,SWIR,AII0093-6-010-003,-24.98,70.012,0.001,0.70304,0.51307,17.307,15.531,37.214
4,SWIR,DUF0125-014-001-004,-43.4,40.1,0.01,0.703718,0.512871,17.2738,15.4427,37.4116
4,SWIR,DUF0125-010-003,-43.36,39.69,0.01,0.70393,0.51287,17.2434,15.4496,37.4273
4,SWIR,DUF0125-016-003-003,-43.43,40.21,0.01,0.703863,0.512863,17.2033,15.4382,37.4102
4,SWIR,ANS0018-060-001,-54.42,-1.36,0.01,0.71209,0.511663,17.188,15.701,38.766
4,SWIR,DUF0125-015-002-005,-43.43,40.21,0.01,0.703905,0.512861,17.1577,15.4302,37.3632
4,SWIR,MELPROT-5-028-146,-43.377,39.852,0.001,0.70458,0.512694,17.097,15.418,37.288
4,SWIR,DUF0034-005,-43.893,40.653,0.001,0.7047,0.512448,16.959,15.504,37.32
4,SWIR,DUF0125-013-001-002,-43.41,39.98,0.01,0.704769,0.512607,16.585,15.3599,36.8753
10,NWIR,KODOS09-11-IR092301G,-9.61,66.65,0.0001,0.702958,0.513035,19.1481,15.6146,39.0245
10,NWIR,KODOS09-11-IR092101G,-9.89,66.8,0.0001,0.702897,0.513031,19.1452,15.6136,38.9996
10,NWIR,KODOS09-11-IR091001G,-11.53,66.36,0.0001,0.702898,0.513061,18.9283,15.5899,38.7896
10,NWIR,MELANTP-093-025,-17.09,66.58,0.01,0.70349,0.512925,18.839,15.604,39.077
10,NWIR,HAK0604-DR002,-19.5896,65.8438,0.0001,0.703586,0.512926,18.8353,15.5581,38.8958
10,NWIR,GIMNAUT-DR07-001,-19.69,65.34,0.01,0.703612,0.512931,18.7927,15.5793,38.6938
10,NWIR,GIMNAUT-DR08-001,-19.66,65.54,0.01,0.703973,0.512911,18.7465,15.5716,38.7042
10,NWIR,GIMNAUT-DR09-001,-19.65,65.68,0.01,0.703873,0.512906,18.7041,15.5708,38.7304
10,NWIR,GIMNAUT-DR10-001,-19.95,66.27,0.01,0.703945,0.512908,18.7031,15.5717,38.7377
10,NWIR,GIMNAUT-PL01-001,-19.17,65.62,0.01,0.703327,0.513028,18.6164,15.5444,38.6592
10,NWIR,HAK0604-RC010,-18.3545,65.2972,0.0001,0.70343,0.512984,18.6155,15.5567,38.7005
10,NWIR,GIMNAUT-DR04-004,-19.68,65.77,0.01,0.703838,0.512935,18.5832,15.5517,38.5321
10,NWIR,HAK0604-RC011,-18.2966,65.2688,0.0001,0.703393,0.512985,18.5735,15.5582,38.6629
10,NWIR,GIMNAUT-DR06-002,-19.33,65.71,0.01,0.703218,0.513014,18.5414,15.5349,38.5767
10,NWIR,KODOS09-11-IR110107,-8.22,68.24,0.0001,0.702859,0.51311,18.5331,15.5351,38.3745
10,NWIR,KODOS09-11-IR091803G,-10.36,66.3,0.0001,0.702859,0.513084,18.5289,15.5283,38.3874
10,NWIR,GIMNAUT-PL06-004,-19.17,65.64,0.01,0.703389,0.513005,18.5238,15.534,38.4662
10,NWIR,GIMNAUT-PL07-001,-19.15,65.66,0.01,0.703243,0.513024,18.5178,15.5382,38.5127
10,NWIR,KODOS09-11-IR10020401,-16.57,66.56,0.0001,0.703187,0.513004,18.4885,15.5364,38.5189
10,NWIR,GIMNAUT-PL01-005,-19.18,65.62,0.01,0.703239,0.513009,18.4883,15.524,38.4601
10,NWIR,GIMNAUT-PL09-007,-19.09,65.79,0.01,0.703238,0.512996,18.4842,15.5213,38.4556
10,NWIR,KODOS09-11-IR10022401,-14.08,66.08,0.0001,0.703097,0.512976,18.475,15.5234,38.4371
10,NWIR,DY0125-026-003-001,3.69,63.72,0.01,0.702942,0.513038,18.463,15.585,38.476
10,NWIR,GIMNAUT-DR11-001,-19.05,65.56,0.01,0.703206,0.513076,18.4627,15.5282,38.4533
10,NWIR,SGRKNYA-195-011,-6.3395,68.2918,0.001,0.703181,0.513017,18.4618,15.5423,38.5066
10,NWIR,SGRKNYA-195-011,-6.3395,68.2918,0.001,0.703128,0.513007,18.4614,15.5356,38.5023
10,NWIR,HAK0604-RC012,-18.1912,65.2293,0.0001,0.703311,0.513006,18.4579,15.5388,38.5126
10,NWIR,DY0125-026-002-002,3.67,63.75,0.01,0.702927,0.513076,18.457,15.588,38.475
10,NWIR,GIMNAUT-DR12-003,-18.7,65.51,0.01,0.703278,0.513029,18.4427,15.5351,38.4826
10,NWIR,HAK0604-RC021,-18.5386,65.3968,0.0001,0.703344,0.513015,18.4419,15.5342,38.4892
10,NWIR,GIMNAUT-PL20-002,-19.49,65.85,0.01,0.703417,0.513017,18.4326,15.5255,38.3273
10,NWIR,GIMNAUT-DR03-001,-19.69,65.96,0.01,0.703232,0.513022,18.426,15.5209,38.3864
10,NWIR,GIMNAUT-DR06-001,-19.33,65.71,0.01,0.703214,0.513023,18.4232,15.5212,38.4152
10,NWIR,GIMNAUT-DR03-002,-19.69,65.96,0.01,0.703319,0.513015,18.4222,15.5195,38.3799
10,NWIR,DUF0057-005-001,-19.48,65.81,0.01,0.70341,0.513013,18.418,15.529,38.345
10,NWIR,GIMNAUT-PL05-005,-19.2,65.56,0.01,0.703098,0.513022,18.4124,15.5178,38.3273
10,NWIR,HAK0604-DR004,-19.5848,65.8608,0.0001,0.703235,0.513017,18.409,15.5036,38.2416
10,NWIR,KODOS09-11-IR10020201,-16.85,66.74,0.0001,0.703057,0.513019,18.4027,15.5201,38.3376
10,NWIR,SGRKNYA-125-004-001,-5.6521,68.0633,0.001,0.703709,0.512957,18.3962,15.5281,38.3493
10,NWIR,MELANTP-097-022,-18.71,65.5,0.01,0.70338,0.513008,18.392,15.49,38.308
10,NWIR,GIMNAUT-DR05-001,-19.41,65.78,0.01,0.703343,0.513023,18.3893,15.5198,38.3088
10,NWIR,GIMNAUT-PL11-002,-19.47,65.85,0.01,0.703303,0.513026,18.3855,15.5128,38.3062
10,NWIR,GIMNAUT-PL11-001,-19.47,65.85,0.01,0.703298,0.513007,18.3853,15.5117,38.2434
10,NWIR,GIMNAUT-DR02-003,-19.55,65.99,0.01,0.703266,0.513029,18.3748,15.5187,38.2914
10,NWIR,HAK0604-DR007,-16.9983,66.8887,0.0001,0.703213,0.513029,18.3717,15.5114,38.3539
10,NWIR,GIMNAUT-DR02-002,-19.55,65.99,0.01,0.703274,0.513007,18.3683,15.5159,38.2824
10,NWIR,HAK0604-DR009,-16.6575,66.5622,0.0001,0.703263,0.513032,18.3639,15.5129,38.351
10,NWIR,HAK0604-DR009,-16.6575,66.5622,0.0001,0.703164,0.513028,18.3638,15.5127,38.3511
10,NWIR,ARGCIRC-104-021,-19.83,66.03,0.01,0.70316,0.51307,18.354,15.517,38.214
10,NWIR,KODOS09-11-IR10021901,-14.84,66.6,0.0001,0.703026,0.513027,18.3497,15.5206,38.3769
10,NWIR,HAK0604-RC005,-19.2703,65.6702,0.0001,0.703181,0.513017,18.3467,15.5169,38.2827
10,NWIR,HAK0604-RC013,-16.6574,66.6467,0.0001,0.703142,0.513032,18.324,15.495,38.2409
10,NWIR,HAK0604-DR001,-19.6868,65.4908,0.0001,0.703619,0.512991,18.3204,15.4982,38.187
10,NWIR,KODOS09-11-IR090501G,-12.39,65.85,0.0001,0.702871,0.513073,18.3121,15.5284,38.3557
10,NWIR,GIMNAUT-PL12-005,-19.44,65.92,0.01,0.703154,0.513027,18.3043,15.5029,38.1984
10,NWIR,KODOS09-11-IR090301G,-12.56,66.03,0.0001,0.702911,0.513202,18.3018,15.5168,38.2542
10,NWIR,DUF0057-004-003,-20.27,67.67,0.01,0.70294,0.513106,18.294,15.495,37.946
10,NWIR,HAK0604-RC015,-15.6404,67.1833,0.0001,0.702922,0.513102,18.2923,15.5339,38.2418
10,NWIR,GIMNAUT-PL17-007,-19.54,65.73,0.01,0.703238,0.513045,18.2873,15.51,38.1824
10,NWIR,KODOS09-11-IR110117-1,-11.28,66.49,0.0001,0.702928,0.513107,18.2722,15.524,38.1117
10,NWIR,KODOS09-11-IR10020301,-16.71,66.65,0.0001,0.703009,0.513043,18.272,15.5059,38.231
10,NWIR,DUF0057-007-005,-15.87,67.28,0.01,0.702782,0.513117,18.271,15.493,37.885
10,NWIR,SGRKNYA-125-004-001,-5.6521,68.0633,0.001,0.703166,0.513024,18.2547,15.5043,38.1632
10,NWIR,078_I5.27N,5.45,61.83,0.01,0.70266,0.51312,18.24,15.44,37.81
10,NWIR,DY0125-026-001,3.7,63.81,0.01,0.702808,0.513084,18.223,15.535,38.066
10,NWIR,SGRKNYA-195-010,-6.0591,68.4978,0.001,0.7028,0.513139,18.2225,15.4946,38.0984
10,NWIR,DUF0057-009-001,-8.01,68.07,0.01,0.702771,0.513108,18.21,15.536,37.946
10,NWIR,KODOS09-11-IR091101G,-11.43,66.35,0.0001,0.702874,0.513081,18.1908,15.4834,38.0137
10,NWIR,KODOS09-11-IR092201,-9.76,66.74,0.0001,0.702925,0.513043,18.1901,15.5044,37.8625
10,NWIR,KODOS09-11-IR091701G,-10.43,66.36,0.0001,0.702808,0.51308,18.1869,15.484,37.9913
10,NWIR,RSR1979-011-005,-5.36,68.62,0.01,0.70274,0.513109,18.17,15.5,38.064
10,NWIR,DUF0057-011-001,-4.17,68.33,0.01,0.702839,0.513106,18.17,15.475,37.765
10,NWIR,DUF0057-009-006,-8.01,68.07,0.01,0.702789,0.513131,18.166,15.495,37.876
10,NWIR,KODOS09-11-IR091501G,-10.71,66.58,0.0001,0.70278,0.513074,18.1614,15.4807,37.959
10,NWIR,SON0028-013,6.15,60.85,0.01,0.702589,0.513077,18.157,15.45,37.822
10,NWIR,KODOS09-11-IR091401G,-10.85,66.67,0.0001,0.702843,0.513079,18.1545,15.4852,37.9872
10,NWIR,DUF0057-003-008,-20.15,66.83,0.01,0.702985,0.513045,18.152,15.514,37.971
10,NWIR,HAK0604-DR008,-16.8294,66.7167,0.0001,0.703048,0.51307,18.1513,15.4847,38.0734
10,NWIR,HAK0604-DR008,-16.8294,66.7167,0.0001,0.703096,0.513079,18.15,15.4819,38.0681
10,NWIR,SON0028-023,-1.55,67.61,0.01,0.702772,0.513067,18.149,15.472,38.001
10,NWIR,DUF0057-008-001,-10.82,66.63,0.01,0.702767,0.513118,18.13,15.471,37.865
10,NWIR,ARGCIRC-093-026,-12.4,65.9,0.001,0.70298,0.513115,18.13,15.505,38.121
10,NWIR,KODOS09-11-IR10021501,-15.15,66.89,0.0001,0.702865,0.513215,18.1161,15.4772,37.97
10,NWIR,KODOS09-11-IR10032102,-11.27,66.57,0.0001,0.702974,0.512989,18.1134,15.4714,38.0817
10,NWIR,KODOS09-11-IR10022901,-13.04,66.56,0.0001,0.702871,0.513155,18.1133,15.4816,37.9735
10,NWIR,HAK0604-DR006,-15.9959,67.3713,0.0001,0.703166,0.513014,18.109,15.4858,37.9609
10,NWIR,RSR1979-012-003,-5.28,68.53,0.01,0.70276,0.513128,18.1,15.474,37.9
10,NWIR,KODOS09-11-IR090701G,-12.25,65.67,0.0001,0.702818,0.513081,18.0867,15.4878,37.9976
10,NWIR,DUF0057-007-002,-15.87,67.28,0.01,0.702847,0.513129,18.085,15.473,37.876
10,NWIR,*VG1583,-5.35,68.69,0.01,0.70295,0.513143,18.084,15.452,37.804
10,NWIR,HAK0604-DR006,-15.9959,67.3713,0.0001,0.703202,0.513035,18.0824,15.4684,37.9148
10,NWIR,KODOS09-11-IR10020802,-15.83,67.29,0.0001,0.702953,0.51307,18.081,15.4784,37.9478
10,NWIR,KODOS09-11-IR092401G,-8.06,68.1,0.0001,0.702768,0.513128,18.0749,15.4773,37.8767
10,NWIR,SON0028-053,-21.33,68.76,0.01,0.702752,0.51309,18.074,15.471,37.879
10,NWIR,KODOS09-11-IR10023501,-7.94,67.99,0.0001,0.702783,0.513148,18.0682,15.4757,37.8609
10,NWIR,DUF0057-0014-001,-1.71,67.97,0.01,0.702936,0.513095,18.068,15.498,37.767
10,NWIR,SON0028-033,-5.38,68.54,0.01,0.702844,0.513081,18.067,15.456,37.87
10,NWIR,DUF0057-013-007,-1.48,67.65,0.01,0.702907,0.513089,18.066,15.472,37.889
10,NWIR,HAK0604-RC014,-15.9061,67.2958,0.0001,0.702937,0.513103,18.0575,15.469,37.9033
10,NWIR,DUF0023-001-001,-21.53,69.112,0.001,0.702851,0.513046,18.057,15.44,37.8
10,NWIR,SON0028-024,-1.51,67.66,0.01,0.702865,0.513063,18.041,15.451,37.838
10,NWIR,DUF0057-013-m,-1.48,67.65,0.01,0.702983,0.513063,18.04,15.469,37.86
10,NWIR,KODOS09-11-IR10021101,-15.42,67.24,0.0001,0.702825,0.5131,18.0383,15.4662,37.8704
10,NWIR,MELANTP-131-014,-8.198,68.12,0.001,0.70276,0.513156,18.038,15.473,37.833
10,NWIR,SON0028-071,-21.39,68.78,0.01,0.702723,0.51305,18.036,15.447,37.787
10,NWIR,SON0028-046-003,-21.36,68.74,0.01,0.702702,0.513064,18.034,15.445,37.772
10,NWIR,MELANTP-128-014,-13.02,66.32,0.01,0.7028,0.51308,18.01,15.467,37.856
10,NWIR,RSR1979-007-060,3.7,63.89,0.01,0.70274,0.513096,18.009,15.473,37.846
10,NWIR,SON0028-025,-1.48,67.7,0.01,0.702841,0.513055,18,15.443,37.781
10,NWIR,RSR1979-009,-1.658,67.773,0.001,0.70284,0.513114,17.997,15.46,37.816
10,NWIR,KODOS09-11-IR110214-1,-12.84,66.32,0.0001,0.702817,0.513088,17.9895,15.4666,37.8356
10,NWIR,DUF0057-014-004,-1.71,67.97,0.01,0.702956,0.513117,17.983,15.45,37.772
10,NWIR,RSR1979-006-009,3.78,63.87,0.01,0.70283,0.513074,17.978,15.451,37.76
10,NWIR,KODOS09-11-IR10022701,-13.25,66.69,0.0001,0.702816,0.513206,17.9054,15.4568,37.7692
10,NWIR,AII0093-6-011-016,-24.675,70.045,0.001,0.70322,0.51306,17.884,15.563,37.838
10,NWIR,DUF0057-006-006,-15.86,67.28,0.01,0.702907,0.513133,17.872,15.45,37.664
10,NWIR,VG05252,9.38,57.95,0.01,0.70267,0.513175,17.335,15.37,37.084
10,NWIR,DUF0023-003-001,-25.385,70.064,0.001,0.703135,0.513059,17.334,15.46,37.36
10,NWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.703035,0.513083,17.325,15.456,37.287
10,NWIR,AII0093-6-010-103,-24.98,70.012,0.001,0.70304,0.513083,17.325,15.456,37.287
10,NWIR,AII0093-5-005,-24.98,69.99,0.01,0.70303,0.513072,17.315,15.443,37.251
10,NWIR,AII0093-6-010-003,-24.98,70.012,0.001,0.70304,0.51307,17.307,15.531,37.214
