区域,SAMPLE ID,LATITUDE,LONGITUDE,LOC PREC,SR87_SR86,ΔSr,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,7NRHL,8NRHL,Δ7/4,Δ8/4,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,HE3_HE4_R_RA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,YB,LU,BA,NB,PB,RB,SR,TH,U,Y,ZR
SWIR,DY0115-020-005-018,-37.61,50.97,0.01,0.703127,31.27,0.513103,18.182,15.58,38.16,15.4619288,37.609038,11.80712,55.0962,49.32,1.28,14.55,12.25,,,,0.17,8.21,11.18,2.45,0.1,0.05,,1.79,6.24,1.26,7.54,2.98,1.11,4.5,0.9,5.9,1.35,3.8,3.6,0.544,,,,,,,,,
SWIR,DY0115-021-007-034-021,-37.91,49.25,0.01,0.702935,29.35,0.513098,18.188,15.535,38.107,15.4625792,37.616292,7.24208,49.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-019-008B,-36.04,52.49,0.01,0.703167,31.67,0.513082,18.197,15.487,37.988,15.4635548,37.627173,2.34452,36.0827,49.07,1.43,14.52,12.52,,,,0.21,8.51,10.85,2.6,0.14,0.12,,2.67,8.73,1.72,9.76,3.6,1.27,5.18,0.957,6.47,1.37,3.94,3.65,0.571,,,,,,,,,
SWIR,DY0115-021-005-011-007,-37.68,50.47,0.01,0.702869,28.69,0.51314,18.202,15.526,38.094,15.4640968,37.633218,6.19032,46.0782,50.26,1.4,15,10.99,,,,0.18,7.56,11.21,2.55,0.22,0.09,,1.8,6.38,1.25,7.32,2.96,1.15,4.31,0.831,5.72,1.26,3.48,3.43,0.532,6.79,1.01,,1.99,106,0.066,,29.9,83.3
SWIR,DUF0107-072,-37.46,51.16,0.01,0.703044,30.44,0.513108,18.2028,15.5012,38.0262,15.46418352,37.6341852,3.701648,39.20148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-019-009A,-36.04,52.49,0.01,0.702946,29.46,0.513097,18.21,15.49,38.004,15.464964,37.64289,2.5036,36.111,49.13,1.42,14.6,12.81,,,,0.22,8.6,10.83,2.62,0.09,0.12,,2.65,8.85,1.72,9.64,3.5,1.24,5.03,0.975,6.14,1.35,3.79,3.48,0.553,,,,,,,,,
SWIR,DY0115-021-005-029-006,-37.78,49.65,0.01,0.702983,29.83,0.513133,18.212,15.53,38.128,15.4651808,37.645308,6.48192,48.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-020-003-018,-37.61,50.97,0.01,0.702969,29.69,0.513132,18.216,15.55,38.169,15.4656144,37.650144,8.43856,51.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-021-005-003-001,-37.78,49.65,0.01,0.70295,29.5,0.513123,18.221,15.528,38.117,15.4661564,37.656189,6.18436,46.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,MELPROT-5-042-001,-38.432,46.713,0.01,0.70281,28.1,0.513099,18.222,15.49,37.943,15.4662648,37.657398,2.37352,28.5602,50.35,1.18,16.29,,,,9.88,0.19,7.71,11.51,2.67,0.13,,,,,,16.75,5.034,,,,,,,,,,,0.784,8.31,161.3,,,,
SWIR,DUF0107-071,-37.38,51.39,0.01,0.703067,30.67,0.513109,18.2224,15.5073,38.0605,15.46630816,37.6578816,4.099184,40.26184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
